,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,$34530,$7625,(73/8/16/10/21),$4567,$946,(8/0/2/1/2),$4053,$1054,(9/0/3/2/2),$3326,$919,(11/0/2/2/3),$4210,$1253,(10/2/4/2/3),$7322,$1414,(13/2/3/1/4),$6084,$1219,(11/2/2/1/4),$4966,$817,(11/2/0/1/3),
	,week-13,$4262,$44,(37/3/9/4/12),$216,$0,(5/0/1/1/1),$521,$0,(5/0/1/0/2),$550,$0,(6/0/1/1/1),$267,$44,(5/0/2/0/3),$921,$0,(5/1/2/1/2),$1060,$0,(6/1/2/0/2),$725,$0,(5/1/0/1/1),
	,week-14,$5407,$49,(33/5/12/3/9),$1068,$0,(3/0/0/1/1),$518,$49,(4/1/2/0/2),$433,$0,(4/1/1/0/2),$485,$0,(5/1/1/0/1),$1305,$0,(5/1/3/2/1),$948,$0,(6/1/4/0/1),$647,$0,(6/0/1/0/1),
	,week-15,$5184,$184,(30/6/13/4/11),$653,$0,(3/0/1/1/1),$30,$184,(3/1/2/0/2),$793,$0,(3/1/1/1/1),$642,$0,(5/1/2/0/2),$1471,$0,(5/1/2/1/2),$1264,$0,(6/1/2/1/2),$327,$0,(5/1/3/0/1),
	,week-16,$4771,$126,(22/11/13/5/10),$278,$0,(1/1/1/1/1),$435,$0,(2/2/2/0/1),$468,$0,(4/2/1/0/2),$13,$82,(1/0/0/0/1),$725,$0,(5/2/3/2/2),$1429,$0,(5/2/3/1/2),$1419,$44,(4/2/3/1/1),
	,week-17,$5682,$45,(33/10/13/5/10),$948,$0,(3/1/1/1/1),$400,$45,(3/1/0/0/1),$765,$0,(3/1/1/1/1),$603,$0,(7/1/1/0/2),$566,$0,(5/2/3/1/2),$971,$0,(7/2/4/1/2),$1426,$0,(5/2/3/1/1),
	,week-18,$5644,$161,(35/7/13/7/11),$600,$0,(2/1/1/1/1),$383,$73,(3/1/1/1/2),$473,$0,(5/1/1/1/2),$560,$88,(4/1/1/0/1),$1031,$0,(8/1/4/1/2),$1144,$0,(8/1/3/2/2),$1450,$0,(5/1/2/1/1),
	,week-19,$7111,$52,(33/7/14/6/12),$546,$52,(2/1/1/1/1),$824,$0,(3/1/1/0/2),$618,$0,(4/1/2/0/2),$436,$0,(3/1/2/0/1),$1101,$0,(8/1/3/1/2),$1425,$0,(6/1/2/2/2),$2158,$0,(7/1/3/2/2),
	,week-20,$6567,$26,(32/7/12/2/11),$690,$0,(2/1/1/0/1),$662,$26,(4/1/0/0/1),$704,$0,(4/1/2/0/1),$644,$0,(4/1/2/0/2),$1089,$0,(6/1/3/1/2),$1438,$0,(7/1/2/1/2),$1337,$0,(5/1/2/0/2),
	,week-21,$9491,$0,(31/7/15/3/13),$1234,$0,(3/1/0/0/1),$1451,$0,(3/1/1/0/1),$1187,$0,(5/1/1/0/1),$1215,$0,(4/1/2/0/2),$1262,$0,(6/1/5/1/3),$1966,$0,(6/1/4/1/3),$1174,$0,(4/1/2/1/2),
	,week-22,$6790,$60,(32/7/17/3/10),$632,$33,(3/1/3/0/1),$689,$0,(4/1/1/0/0),$598,$27,(4/1/2/0/2),$1051,$0,(4/1/3/0/1),$1231,$0,(7/1/4/1/2),$1735,$0,(5/1/3/1/2),$852,$0,(5/1/1/1/2),
	,week-23,$7228,$98,(30/7/20/6/11),$525,$0,(2/1/2/0/1),$572,$0,(3/1/2/1/1),$1080,$0,(4/1/2/1/1),$2052,$0,(4/1/3/1/1),$953,$0,(6/1/4/1/2),$876,$44,(6/1/4/1/3),$1168,$53,(5/1/3/1/2),
	,week-24,$8176,$22,(29/6/19/8/14),$676,$0,(2/1/2/1/1),$633,$0,(3/1/2/1/2),$721,$0,(2/1/2/1/1),$1091,$22,(5/1/2/1/1),$1161,$0,(6/1/4/2/3),$1766,$0,(5/1/3/1/3),$2126,$0,(6/0/4/1/3),
	,week-25,$7452,$0,(31/9/22/8/14),$0,$0,(3/2/2/1/3),$49,$0,(4/2/4/2/2),$1543,$0,(4/1/2/1/1),$1355,$0,(5/1/3/0/1),$1399,$0,(6/1/4/2/3),$2146,$0,(6/1/4/1/3),$958,$0,(3/1/3/1/1),
	,week-26,$7523,$138,(32/9/17/8/12),$633,$41,(3/1/1/1/1),$1441,$42,(3/2/3/1/1),$1191,$0,(4/2/2/1/1),$782,$21,(5/1/2/0/2),$1497,$0,(6/1/3/2/3),$1145,$0,(6/1/3/1/2),$831,$32,(5/1/3/2/2),
	,week-27,$6812,$94,(29/7/14/6/9),$622,$0,(2/1/1/1/1),$82,$94,(2/1/1/1/1),$1036,$0,(4/1/2/1/2),$789,$0,(4/1/1/0/1),$1817,$0,(6/1/3/1/2),$1636,$0,(6/1/3/1/1),$827,$0,(5/1/3/1/1),
	,week-28,$5967,$103,(26/7/20/7/10),$932,$22,(2/1/2/1/1),$599,$0,(2/1/2/1/1),$866,$80,(4/1/3/1/1),$253,$0,(3/1/3/1/1),$947,$0,(5/1/2/2/3),$1199,$0,(6/1/4/0/2),$1168,$0,(4/1/4/1/1),
	,week-29,$8700,$85,(28/6/15/9/13),$878,$0,(2/1/0/1/1),$1168,$0,(3/0/2/0/2),$715,$0,(3/1/1/1/2),$1152,$0,(4/1/2/1/1),$1298,$46,(6/1/3/2/3),$2249,$38,(6/1/4/2/2),$1237,$0,(4/1/3/2/2),
	,week-30,$7679,$31,(25/8/10/7/12),$734,$0,(2/1/1/1/1),$759,$0,(3/0/1/1/2),$757,$0,(2/1/1/1/2),$2090,$0,(3/1/2/1/1),$1689,$0,(6/1/1/1/3),$1647,$31,(6/2/3/1/1),$0,$0,(3/2/1/1/2),
	,week-31,$5659,$32,(24/7/13/4/7),$118,$0,(2/1/1/0/1),$352,$0,(3/1/1/1/1),$1155,$0,(2/1/1/1/1),$584,$32,(3/1/2/1/2),$1311,$0,(6/1/2/0/2),$1229,$0,(5/1/3/1/0),$906,$0,(3/1/3/0/0),
	,week-32,$6404,$121,(25/7/16/8/12),$483,$0,(2/1/1/1/1),$465,$0,(2/1/1/1/2),$1790,$51,(3/1/2/1/1),$189,$0,(3/1/2/2/2),$1667,$0,(5/1/4/2/2),$823,$0,(6/1/3/0/2),$983,$70,(4/1/3/1/2),
	,week-33,$469,$0,(3/0/2/0/1),$469,$0,(3/0/2/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

21:00-22:00	,week-12,$8324,$506,(42/6/11/4/11),$962,$0,(5/0/1/1/1),$1312,$71,(6/0/2/0/1),$900,$71,(7/0/2/1/2),$1301,$298,(6/2/2/1/2),$1294,$0,(8/2/2/1/2),$1513,$0,(6/1/2/0/2),$1038,$63,(4/1/0/0/1),
	,week-13,$8027,$599,(37/3/9/4/11),$912,$110,(5/0/1/1/1),$1196,$125,(5/0/1/0/2),$1586,$124,(6/0/1/1/1),$1122,$180,(5/0/2/0/2),$1190,$0,(5/1/2/1/2),$733,$0,(6/1/2/0/2),$1285,$58,(5/1/0/1/1),
	,week-14,$8499,$557,(32/5/12/3/9),$676,$47,(3/0/0/1/1),$560,$213,(3/1/2/0/2),$863,$0,(4/1/1/0/2),$788,$66,(5/1/1/0/1),$1740,$170,(5/1/3/2/1),$2336,$59,(6/1/4/0/1),$1533,$0,(6/0/1/0/1),
	,week-15,$7216,$277,(29/5/11/4/10),$326,$55,(3/0/1/1/1),$364,$0,(2/0/0/0/1),$743,$60,(3/1/1/1/1),$1242,$48,(5/1/2/0/2),$1514,$0,(5/1/2/1/2),$1571,$0,(6/1/2/1/2),$1453,$113,(5/1/3/0/1),
	,week-16,$5450,$504,(21/12/13/4/9),$228,$0,(1/1/1/1/1),$899,$0,(2/2/2/0/1),$591,$269,(4/2/1/0/2),$0,$0,(0/0/0/0/0),$1257,$0,(5/2/3/2/2),$1610,$134,(5/2/3/1/2),$862,$100,(4/3/3/0/1),
	,week-17,$7404,$844,(32/10/13/5/10),$393,$100,(3/1/1/1/1),$391,$0,(2/1/0/0/1),$591,$51,(3/1/1/1/1),$1161,$399,(7/1/1/0/2),$2259,$68,(5/2/3/1/2),$1604,$124,(7/2/4/1/2),$1002,$99,(5/2/3/1/1),
	,week-18,$7574,$783,(33/7/13/6/10),$528,$134,(2/1/1/1/1),$657,$169,(3/1/1/0/1),$1875,$216,(5/1/1/1/2),$568,$51,(2/1/1/0/1),$1162,$114,(8/1/4/1/2),$1815,$97,(8/1/3/2/2),$966,$0,(5/1/2/1/1),
	,week-19,$9683,$715,(33/7/14/5/16),$507,$0,(2/1/1/0/1),$1032,$83,(3/1/1/0/2),$1624,$154,(4/1/2/0/2),$739,$53,(3/1/2/0/5),$1993,$0,(8/1/3/1/2),$2145,$0,(6/1/2/2/2),$1640,$423,(7/1/3/2/2),
	,week-20,$10660,$640,(31/8/12/2/11),$1622,$0,(2/1/1/0/1),$232,$121,(3/1/0/0/1),$1868,$56,(4/1/2/0/1),$1447,$93,(4/1/2/0/2),$1925,$0,(6/1/3/1/2),$2382,$61,(7/2/2/1/2),$1179,$307,(5/1/2/0/2),
	,week-21,$10374,$357,(31/7/15/3/13),$569,$64,(3/1/0/0/1),$917,$0,(3/1/1/0/1),$1839,$0,(5/1/1/0/1),$977,$44,(4/1/2/0/2),$2185,$112,(6/1/5/1/3),$1571,$72,(6/1/4/1/3),$2314,$63,(4/1/2/1/2),
	,week-22,$8533,$963,(31/7/17/3/9),$306,$119,(2/1/3/0/1),$1031,$114,(4/1/1/0/0),$709,$258,(4/1/2/0/1),$1290,$63,(4/1/3/0/1),$2406,$93,(7/1/4/1/2),$1418,$0,(5/1/3/1/2),$1370,$313,(5/1/1/1/2),
	,week-23,$9087,$1005,(28/7/20/6/10),$554,$111,(2/1/2/0/1),$1633,$244,(3/1/2/1/1),$1107,$165,(4/1/2/1/1),$1379,$65,(4/1/3/1/1),$2342,$70,(6/1/4/1/2),$1188,$102,(5/1/4/1/2),$881,$245,(4/1/3/1/2),
	,week-24,$9713,$675,(28/6/19/8/14),$456,$57,(2/1/2/1/1),$1719,$58,(3/1/2/1/2),$838,$213,(2/1/2/1/1),$1494,$0,(4/1/2/1/1),$2348,$95,(6/1/4/2/3),$1127,$0,(5/1/3/1/3),$1727,$250,(6/0/4/1/3),
	,week-25,$8997,$596,(31/9/22/8/14),$0,$95,(3/2/2/1/3),$221,$128,(4/2/4/2/2),$2102,$106,(4/1/2/1/1),$1708,$0,(5/1/3/0/1),$1947,$61,(6/1/4/2/3),$1283,$42,(6/1/4/1/3),$1733,$161,(3/1/3/1/1),
	,week-26,$12058,$1188,(31/10/18/7/10),$1539,$57,(2/1/1/1/1),$760,$29,(3/2/3/0/1),$1633,$153,(4/3/2/1/1),$1037,$182,(5/1/2/0/1),$2738,$0,(6/1/3/2/3),$2578,$89,(6/1/3/1/2),$1770,$676,(5/1/4/2/1),
	,week-27,$11072,$1099,(30/6/14/5/9),$684,$265,(2/1/1/1/1),$1100,$77,(2/0/1/0/1),$1282,$216,(4/1/2/1/2),$1644,$242,(4/1/1/0/1),$1926,$0,(6/1/3/1/2),$2417,$38,(6/1/3/1/1),$2016,$259,(6/1/3/1/1),
	,week-28,$11295,$749,(25/7/17/7/10),$966,$61,(2/1/0/1/1),$1484,$59,(2/1/2/1/1),$995,$334,(3/1/2/1/1),$1193,$176,(3/1/3/1/1),$1931,$59,(5/1/2/2/3),$2211,$0,(6/1/4/0/2),$2513,$58,(4/1/4/1/1),
	,week-29,$9723,$1019,(28/6/15/7/13),$742,$57,(2/1/0/1/1),$1127,$277,(3/0/2/0/2),$1008,$55,(3/1/1/1/2),$1351,$98,(4/1/2/1/1),$2713,$0,(6/1/3/1/3),$1475,$0,(6/1/4/1/2),$1304,$531,(4/1/3/2/2),
	,week-30,$7731,$636,(24/8/10/7/12),$1288,$0,(2/1/1/1/1),$984,$398,(3/0/1/1/2),$1177,$124,(2/1/1/1/2),$1177,$114,(3/1/2/1/1),$1545,$0,(6/1/1/1/3),$1558,$0,(5/2/3/1/1),$0,$0,(3/2/1/1/2),
	,week-31,$10258,$636,(23/7/13/4/7),$770,$51,(2/1/1/0/1),$612,$174,(3/1/1/1/1),$899,$58,(2/1/1/1/1),$997,$225,(2/1/2/1/2),$2957,$0,(6/1/2/0/2),$1925,$0,(5/1/3/1/0),$2095,$127,(3/1/3/0/0),
	,week-32,$11343,$618,(23/7/16/8/11),$1581,$211,(2/1/1/1/1),$1176,$0,(2/1/1/1/2),$1216,$213,(2/1/2/1/1),$1683,$0,(3/1/2/2/2),$1902,$59,(5/1/4/2/2),$2444,$0,(6/1/3/0/2),$1339,$132,(3/1/3/1/1),
	,week-33,$1742,$0,(3/0/2/0/1),$1742,$0,(3/0/2/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

22:00-23:00	,week-12,$4713,$3388,(36/6/11/3/10),$347,$630,(5/0/1/1/1),$270,$478,(5/0/2/0/1),$229,$625,(5/0/2/1/2),$49,$598,(3/2/2/0/1),$1872,$349,(9/2/2/1/2),$1404,$402,(6/1/2/0/2),$539,$304,(3/1/0/0/1),
	,week-13,$7770,$2259,(30/3/9/2/11),$414,$429,(4/0/1/0/1),$461,$415,(3/0/1/0/2),$828,$353,(6/0/1/0/1),$298,$377,(2/0/2/0/2),$1953,$146,(5/1/2/1/2),$2540,$283,(6/1/2/0/2),$1272,$252,(4/1/0/1/1),
	,week-14,$2971,$2364,(28/5/10/1/8),$150,$271,(3/0/0/0/1),$0,$228,(1/1/1/0/1),$294,$483,(4/1/1/0/2),$381,$383,(4/1/1/0/1),$1288,$137,(4/1/2/1/1),$697,$369,(5/1/4/0/1),$157,$491,(7/0/1/0/1),
	,week-15,$5713,$2602,(27/5/11/2/11),$307,$323,(3/0/1/0/1),$184,$178,(2/0/0/0/1),$531,$385,(3/1/1/0/1),$852,$463,(4/1/2/0/2),$2190,$492,(5/1/2/1/2),$1566,$327,(7/1/2/1/3),$79,$432,(3/1/3/0/1),
	,week-16,$5269,$2136,(16/7/15/4/7),$582,$281,(1/1/1/1/1),$738,$404,(2/2/2/0/1),$0,$176,(1/0/1/0/1),$0,$0,(0/0/0/0/0),$2446,$343,(5/2/4/2/2),$1104,$540,(4/1/4/1/1),$397,$390,(3/1/3/0/1),
	,week-17,$4019,$3161,(23/8/13/2/9),$130,$281,(2/0/1/0/1),$251,$277,(2/1/0/0/1),$535,$337,(3/1/1/0/1),$260,$170,(1/1/1/0/1),$914,$711,(5/1/3/1/2),$937,$790,(6/2/4/1/2),$988,$592,(4/2/3/0/1),
	,week-18,$3722,$3122,(25/2/14/3/8),$214,$218,(1/0/1/0/1),$214,$207,(1/0/1/0/1),$40,$255,(2/0/1/0/1),$0,$208,(2/0/1/0/0),$1679,$718,(7/0/4/1/2),$1135,$902,(7/1/4/1/2),$437,$611,(5/1/2/1/1),
	,week-19,$6255,$2895,(26/4/13/5/10),$324,$287,(2/0/1/0/1),$373,$315,(2/1/1/0/1),$0,$325,(2/0/2/0/1),$780,$307,(3/1/2/0/2),$2047,$689,(8/1/3/1/2),$2277,$477,(6/1/2/2/2),$451,$493,(3/0/2/2/1),
	,week-20,$5534,$2822,(25/4/13/2/8),$429,$344,(2/1/1/0/1),$375,$213,(2/0/0/0/1),$566,$415,(3/1/2/0/1),$332,$492,(3/1/2/0/1),$2275,$469,(6/1/4/1/2),$1459,$625,(7/0/2/1/2),$95,$261,(2/0/2/0/0),
	,week-21,$7797,$3902,(29/7/17/3/9),$493,$227,(2/1/0/0/1),$483,$409,(3/1/1/0/1),$1479,$647,(5/1/1/0/1),$923,$493,(4/1/2/0/1),$1718,$893,(6/1/5/1/2),$1238,$681,(6/1/5/1/1),$1459,$549,(3/1/3/1/2),
	,week-22,$5687,$3124,(21/3/15/3/7),$523,$325,(1/0/3/0/1),$110,$272,(3/0/1/0/0),$543,$211,(2/0/1/0/0),$801,$494,(3/1/3/0/1),$1458,$924,(6/1/3/1/2),$2162,$656,(5/1/3/1/2),$87,$239,(1/0/1/1/1),
	,week-23,$6047,$3306,(20/5/18/2/9),$167,$253,(1/0/2/0/1),$206,$224,(1/1/1/0/1),$479,$372,(2/1/2/0/1),$1399,$573,(4/1/3/0/1),$1862,$833,(5/1/4/1/3),$1556,$705,(5/1/3/1/1),$373,$344,(2/0/3/0/1),
	,week-24,$6933,$3718,(26/6/18/4/9),$600,$366,(2/1/2/0/1),$836,$425,(3/1/2/0/2),$94,$204,(1/1/1/0/0),$1579,$544,(4/1/2/1/1),$1531,$851,(6/1/4/1/2),$1758,$773,(6/1/3/1/3),$531,$552,(4/0/4/1/0),
	,week-25,$6049,$4359,(29/10/22/4/9),$0,$524,(3/2/2/1/1),$0,$719,(3/3/4/1/2),$649,$452,(4/1/2/0/0),$951,$628,(5/1/3/0/1),$2460,$813,(6/1/4/1/3),$1533,$856,(6/1/4/1/2),$454,$365,(2/1/3/0/0),
	,week-26,$4159,$3189,(20/7/14/3/8),$192,$302,(2/1/1/0/1),$542,$516,(2/2/3/0/1),$141,$425,(3/1/2/0/1),$573,$372,(2/1/2/0/1),$1701,$900,(6/1/3/2/3),$1007,$672,(5/1/3/1/1),$0,$0,(0/0/0/0/0),
	,week-27,$3531,$2642,(18/5/13/3/4),$56,$71,(0/1/0/0/0),$0,$129,(1/0/1/0/0),$581,$375,(2/1/2/0/1),$93,$193,(2/0/1/0/0),$1566,$819,(6/1/3/1/2),$1030,$682,(6/1/3/1/1),$201,$369,(1/1/3/1/0),
	,week-28,$5643,$3005,(23/6/16/1/8),$347,$187,(2/1/0/0/1),$937,$375,(2/1/2/0/1),$21,$71,(1/0/0/0/0),$799,$371,(3/1/2/0/0),$1312,$621,(5/1/3/1/3),$1823,$791,(6/1/5/0/2),$400,$586,(4/1/4/0/1),
	,week-29,$5251,$2655,(22/5/11/2/10),$311,$224,(2/1/0/0/1),$132,$98,(1/0/0/0/1),$926,$431,(3/1/1/0/2),$169,$408,(3/1/2/0/1),$1156,$800,(7/1/3/1/3),$2554,$655,(6/1/4/1/2),$0,$37,(0/0/1/0/0),
	,week-30,$4937,$2916,(19/8/9/4/10),$408,$346,(2/1/1/1/1),$0,$0,(0/0/0/0/0),$243,$310,(1/1/1/0/2),$370,$359,(2/1/2/0/1),$2180,$730,(6/1/1/1/3),$1734,$664,(5/2/3/1/1),$0,$505,(3/2/1/1/2),
	,week-31,$5715,$2431,(17/7/12/1/6),$860,$212,(1/1/1/0/1),$581,$245,(1/1/1/0/1),$604,$318,(2/1/1/0/1),$475,$211,(1/1/1/0/1),$1303,$502,(6/1/2/0/2),$1748,$661,(5/1/3/1/0),$141,$279,(1/1/3/0/0),
	,week-32,$6656,$3016,(21/5/15/4/10),$129,$162,(1/0/1/0/1),$804,$414,(2/1/1/1/2),$62,$193,(2/0/2/0/0),$1603,$535,(3/1/2/2/2),$1976,$686,(5/1/4/1/2),$1890,$702,(6/1/3/0/2),$189,$321,(2/1/2/0/1),
	,week-33,$326,$335,(3/0/2/0/1),$326,$335,(3/0/2/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

23:00-24:00	,week-12,$444,$1490,(10/3/5/0/1),$0,$0,(0/0/0/0/0),$0,$175,(1/0/1/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$317,$831,(6/2/2/0/1),$0,$400,(2/1/2/0/0),$127,$82,(1/0/0/0/0),
	,week-13,$184,$1605,(10/2/5/0/4),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$148,(1/0/1/0/0),$0,$0,(0/0/0/0/0),$184,$711,(4/1/2/0/2),$0,$509,(2/1/2/0/2),$0,$236,(3/0/0/0/0),
	,week-14,$148,$909,(5/1/7/1/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$73,(0/0/1/0/0),$0,$476,(3/1/2/1/0),$148,$359,(2/0/4/0/0),$0,$0,(0/0/0/0/0),
	,week-15,$76,$851,(5/2/6/1/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$156,(0/0/2/0/0),$55,$312,(2/1/2/0/0),$20,$383,(3/1/2/1/0),$0,$0,(0/0/0/0/0),
	,week-16,$0,$461,(4/0/7/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$449,(4/0/5/0/0),$0,$11,(0/0/2/0/0),$0,$0,(0/0/0/0/0),
	,week-17,$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-18,$143,$199,(1/0/2/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$143,$199,(1/0/2/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-19,$188,$761,(3/1/5/2/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$188,$371,(1/0/3/1/0),$0,$389,(2/1/2/1/0),$0,$0,(0/0/0/0/0),
	,week-20,$114,$465,(2/1/4/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$114,$392,(1/1/4/0/0),$0,$72,(1/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-21,$0,$138,(1/0/1/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$138,(1/0/1/0/0),$0,$0,(0/0/0/0/0),
	,week-22,$0,$154,(0/0/1/1/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$154,(0/0/1/1/0),$0,$0,(0/0/0/0/0),
	,week-23,$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-24,$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-25,$0,$234,(0/0/1/1/1),$0,$0,(0/0/0/0/0),$0,$67,(0/0/0/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$166,(0/0/1/1/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-26,$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-27,$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-28,$0,$132,(0/0/2/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$132,(0/0/2/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-29,$23,$195,(0/0/2/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$23,$195,(0/0/2/0/1),$0,$0,(0/0/0/0/0),
	,week-30,$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-31,$0,$214,(2/0/1/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$214,(2/0/1/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-32,$262,$135,(1/0/2/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$262,$135,(1/0/2/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),
	,week-33,$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

