,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,$34530,$7625,(73/8/16/10/21),$4567,$946,(8/0/2/1/2),$4053,$1054,(9/0/3/2/2),$3326,$919,(11/0/2/2/3),$4210,$1253,(10/2/4/2/3),$7322,$1414,(13/2/3/1/4),$6084,$1219,(11/2/2/1/4),$4966,$817,(11/2/0/1/3),
	,week-18,$8522,$1719,(24/6/8/4/11),$1374,$131,(2/0/0/0/1),$633,$152,(3/1/0/0/1),$1141,$205,(4/1/1/1/1),$853,$237,(3/1/1/1/3),$1418,$374,(6/1/1/0/2),$1053,$294,(3/1/3/1/2),$2048,$324,(3/1/2/1/1),
	,week-19,$16240,$2388,(24/6/11/2/15),$443,$154,(2/0/1/0/1),$366,$145,(2/1/0/0/1),$1035,$190,(3/1/1/0/1),$700,$209,(3/1/1/0/2),$3746,$401,(5/1/1/0/2),$2865,$375,(3/1/3/0/2),$7082,$912,(6/1/4/2/6),
	,week-20,$10702,$2083,(25/5/14/2/10),$602,$166,(2/0/1/0/1),$828,$185,(2/0/1/0/1),$1086,$241,(2/1/2/0/1),$1670,$260,(4/1/2/0/1),$1644,$337,(4/1/2/0/2),$2819,$501,(8/1/2/1/2),$2050,$391,(3/1/4/1/2),
	,week-21,$15694,$2249,(24/7/16/3/13),$638,$150,(2/0/1/0/2),$2765,$209,(2/0/1/0/1),$3052,$269,(3/1/1/0/1),$2501,$320,(4/1/2/0/2),$2215,$372,(5/2/3/0/2),$2004,$461,(4/1/4/1/3),$2516,$464,(4/2/4/2/2),
	,week-22,$14201,$2047,(22/6/13/4/10),$2645,$300,(2/1/2/2/1),$1301,$145,(3/0/1/0/0),$1809,$191,(2/1/1/0/1),$2282,$280,(3/1/2/0/2),$2228,$354,(6/1/1/0/2),$2102,$393,(3/1/3/1/2),$1831,$381,(3/1/3/1/2),
	,week-23,$14085,$2253,(26/5/17/3/10),$503,$170,(2/0/2/0/1),$596,$206,(3/0/3/0/1),$1482,$219,(3/1/1/0/1),$1675,$293,(3/1/2/0/2),$3514,$449,(6/1/3/0/1),$2034,$419,(4/1/4/1/2),$4278,$495,(5/1/2/2/2),
	,week-24,$15572,$2353,(27/6/17/4/10),$666,$184,(2/0/2/0/1),$1964,$213,(2/0/2/0/1),$1222,$170,(3/2/2/0/1),$1790,$301,(5/1/1/1/2),$3373,$430,(6/1/3/0/2),$1861,$425,(4/1/3/1/1),$4694,$626,(5/1/4/2/2),
	,week-25,$12850,$2114,(22/6/14/5/10),$338,$104,(2/0/1/0/1),$0,$53,(0/0/1/0/0),$930,$226,(3/1/1/0/1),$2851,$413,(5/1/2/1/2),$3952,$446,(4/2/3/0/2),$2197,$477,(4/1/3/4/1),$2581,$392,(4/1/3/0/3),
	,week-26,$17323,$2066,(23/6/11/5/11),$941,$141,(2/0/1/0/1),$1927,$115,(1/0/1/0/1),$1643,$251,(3/1/2/0/1),$2633,$373,(5/2/2/2/1),$4886,$389,(4/1/2/0/2),$2443,$453,(4/1/2/2/3),$2846,$341,(4/1/1/1/2),
	,week-27,$12790,$2065,(23/6/17/5/10),$698,$119,(3/1/2/2/1),$1152,$201,(2/0/2/0/1),$3651,$437,(4/1/3/1/2),$1922,$317,(3/1/2/1/1),$1523,$279,(3/1/3/0/2),$2052,$426,(4/1/3/1/1),$1789,$283,(4/1/2/0/2),
	,week-28,$11136,$2086,(21/3/16/2/10),$186,$99,(1/0/1/0/1),$1323,$254,(2/0/3/0/1),$1635,$273,(2/1/1/0/2),$1865,$324,(3/0/3/0/1),$2357,$399,(4/1/3/0/2),$1831,$398,(4/0/3/1/2),$1936,$335,(5/1/2/1/1),
	,week-29,$13356,$1808,(18/3/13/2/11),$1200,$134,(2/1/1/0/1),$681,$152,(2/0/1/0/1),$2124,$212,(2/0/1/0/2),$1554,$246,(2/0/3/0/1),$2236,$305,(3/1/2/0/2),$2638,$374,(3/0/3/1/2),$2920,$384,(4/1/2/1/2),
	,week-30,$11661,$1603,(19/2/9/0/13),$1008,$137,(2/0/1/0/1),$761,$200,(2/0/1/0/2),$1615,$249,(2/0/1/0/2),$552,$166,(3/0/1/0/2),$2433,$313,(4/1/2/0/2),$1497,$259,(3/0/2/0/2),$3792,$275,(3/1/1/0/2),
	,week-31,$11673,$1639,(20/5/10/0/9),$889,$131,(2/0/1/0/1),$1124,$220,(2/0/1/0/2),$2239,$263,(3/1/1/0/2),$1903,$230,(4/1/2/0/1),$3315,$353,(3/2/2/0/2),$1193,$250,(3/0/2/0/1),$1008,$189,(3/1/1/0/0),
	,week-32,$10821,$1725,(18/2/13/2/12),$650,$164,(1/1/1/0/1),$971,$207,(2/0/1/0/2),$1078,$195,(2/0/1/0/2),$2516,$277,(3/0/3/0/1),$1827,$351,(4/1/3/1/2),$2119,$331,(3/0/2/1/2),$1658,$197,(3/0/2/0/2),
	,week-33,$2656,$408,(6/0/5/0/3),$1162,$179,(2/0/2/0/1),$1494,$228,(4/0/3/0/2),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

