,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,34530,7625,(73/8/16/10/21),4567,946,(8/0/2/1/2),4053,1054,(9/0/3/2/2),3326,919,(11/0/2/2/3),4210,1253,(10/2/4/2/3),7322,1414,(13/2/3/1/4),6084,1219,(11/2/2/1/4),4966,817,(11/2/0/1/3),
	,week-19,2715,0,(13/3/7/2/8),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(4/1/1/0/0),482,0,(3/1/3/0/2),2233,0,(6/1/3/2/6),
	,week-20,1974,0,(9/2/7/1/4),0,0,(0/0/0/0/0),0,0,(1/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/2/0/0),0,0,(0/0/1/0/0),1082,0,(6/1/2/1/2),891,0,(2/1/2/0/2),
	,week-21,670,0,(15/1/6/2/1),0,0,(1/0/0/0/0),0,0,(2/0/1/0/0),0,0,(4/1/0/0/0),0,0,(0/0/1/0/0),0,0,(0/0/0/0/0),416,0,(4/0/1/1/1),253,0,(4/0/3/1/0),
	,week-22,96,0,(1/1/1/2/0),96,0,(1/1/1/2/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

16:00-17:00	,week-12,43,0,(25/0/7/3/7),0,0,(5/0/0/1/1),0,0,(5/0/2/0/1),0,0,(3/0/1/0/2),0,0,(4/0/3/1/2),43,0,(5/0/1/1/1),0,0,(0/0/0/0/0),0,0,(3/0/0/0/0),
	,week-13,0,0,(13/0/0/2/7),0,0,(2/0/0/0/1),0,0,(1/0/0/0/2),0,0,(2/0/0/1/1),0,0,(4/0/0/0/1),0,0,(2/0/0/1/2),0,0,(1/0/0/0/0),0,0,(1/0/0/0/0),
	,week-14,10,0,(8/1/0/2/2),0,0,(0/0/0/0/0),0,0,(0/0/0/0/1),0,0,(1/0/0/0/1),0,0,(1/0/0/0/0),0,0,(3/0/0/2/0),10,0,(2/1/0/0/0),0,0,(1/0/0/0/0),
	,week-15,527,0,(7/2/1/2/2),0,0,(1/0/0/1/0),0,0,(1/0/0/0/1),0,0,(1/0/0/0/0),0,0,(2/0/0/0/1),0,0,(1/1/0/0/0),527,0,(0/1/0/0/0),0,0,(1/0/1/1/0),
	,week-16,0,0,(6/4/2/1/3),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(1/0/0/0/0),0,0,(2/1/1/0/1),0,0,(1/2/0/1/1),0,0,(2/1/0/0/1),0,0,(0/0/1/0/0),
	,week-17,0,0,(8/7/1/2/5),0,0,(1/0/0/1/1),0,0,(2/1/0/0/1),0,0,(2/1/0/0/0),0,0,(1/1/0/0/1),0,0,(1/2/0/1/1),0,0,(1/2/0/0/1),0,0,(0/0/1/0/0),
